Country,observedPropertyDeterminandLabel,phenomenonTimeReferenceYear,resultMeanValue
Belgium,Dissolved oxygen,2004,5.525
Belgium,Nitrite,2009,0.623
Belgium,Nitrite,2004,0.131
Belgium,Nitrate,2006,56.3
Belgium,Nitrate,2008,59.08
Belgium,Nitrate,2010,53.55
Bulgaria,Nitrate,2005,11.021
Bulgaria,Ammonium,2000,0.07
Bulgaria,Ammonium,2005,0.531
Belgium,Ammonium,2003,0.025
Belgium,Nitrate,2005,52.98
Belgium,Nitrate,2012,40.95
Belgium,Nitrate,2004,12.871
Bulgaria,Nitrate,2002,38.1
Bulgaria,Nitrate,2004,34.7
Belgium,Ammonium,2008,1.041
Belgium,Ammonium,2010,0.8161
Belgium,Ammonium,2007,14.461
Belgium,Nitrite,2011,0.071
Bulgaria,Dissolved oxygen,2005,8.5
Bulgaria,Nitrite,2002,0.02
Finland,Nitrite,2010,0.0043
Finland,Dissolved oxygen,2011,3.9
Bulgaria,Dissolved oxygen,2002,6.283
Bulgaria,Dissolved oxygen,2004,6.117
Belgium,Nitrite,2007,0.059
Belgium,Nitrate,2008,47.21
Finland,Nitrate,2011,8.63
Belgium,Nitrite,2009,0.102
Belgium,Dissolved oxygen,2004,1.56
Belgium,Dissolved oxygen,2006,1.58
Finland,Nitrite,2011,0.003
Belgium,Nitrate,2003,41.0301
Belgium,Nitrate,2010,45.1
Finland,Nitrate,2001,0.276
Bulgaria,Nitrate,2003,1.368
Bulgaria,Nitrate,2004,1.996
Bulgaria,Nitrate,2001,39.8
Bulgaria,Nitrate,2002,39.2
Bulgaria,Nitrite,2005,0.034
Bulgaria,Nitrite,2004,2.679
Belgium,Nitrite,2006,0.165
Belgium,Ammonium,2009,16.461
Belgium,Ammonium,2004,0.309
Belgium,Ammonium,2011,0.34
Belgium,Ammonium,2008,0.366
Belgium,Ammonium,2008,12.182
Belgium,Ammonium,2010,10.9486
Belgium,Ammonium,2004,0.7429
Belgium,Ammonium,2006,13.502
Belgium,Dissolved oxygen,2003,1.664
Belgium,Dissolved oxygen,2004,2.0
Bulgaria,Nitrite,2002,0.052
Bulgaria,Nitrite,2004,0.042
Belgium,Nitrate,2009,78.0
Belgium,Nitrate,2012,73.23
Bulgaria,Nitrate,2002,14.76
Bulgaria,Nitrate,2003,11.399
Bulgaria,Dissolved oxygen,2004,3.3
Finland,Nitrite,2012,0.0016
Belgium,Nitrite,2006,0.046
Belgium,Nitrate,2011,30.95
Belgium,Nitrate,2003,101.7687
Bulgaria,Nitrate,2002,20.788
Belgium,Ammonium,2012,0.83
Belgium,Ammonium,2003,8.73
Belgium,Ammonium,2005,12.955
Bulgaria,Ammonium,2001,0.175
Bulgaria,Ammonium,2003,0.013
Finland,Nitrate,2012,6.81
Bulgaria,Nitrate,2001,2.517
Belgium,Nitrite,2005,0.091
Belgium,Nitrite,2012,0.082
Belgium,Dissolved oxygen,2010,2.863
Belgium,Dissolved oxygen,2006,5.7
Belgium,Nitrate,2003,99.82
Bulgaria,Nitrate,2003,47.735
Belgium,Dissolved oxygen,2007,5.4
Belgium,Dissolved oxygen,2008,5.78
Finland,Dissolved oxygen,2006,9.45
Belgium,Nitrate,2010,58.3
Finland,Nitrate,2001,0.0221
Bulgaria,Nitrate,2004,7.278
Finland,Dissolved oxygen,2009,11.4
Finland,Dissolved oxygen,2012,4.9
Bulgaria,Nitrite,2001,2.893
Belgium,Nitrite,2004,0.0738
Belgium,Nitrite,2011,0.059
Bulgaria,Dissolved oxygen,2001,6.35
Finland,Nitrite,2012,0.0016
Belgium,Nitrite,2009,0.104
Belgium,Dissolved oxygen,2011,3.12
Belgium,Dissolved oxygen,2012,1.41
Belgium,Nitrite,2011,0.052
Belgium,Nitrite,2012,0.064
Belgium,Dissolved oxygen,2006,1.11
Bulgaria,Nitrate,2000,26.025
Bulgaria,Nitrate,2002,28.336
Bulgaria,Nitrate,2005,2.269
Belgium,Ammonium,2011,15.53
Belgium,Ammonium,2012,12.31
Bulgaria,Ammonium,2004,0.462
Bulgaria,Nitrate,2000,40.885
Bulgaria,Nitrate,2002,2.575
Bulgaria,Nitrate,2000,55.575
Bulgaria,Nitrate,2003,45.925
Belgium,Nitrate,2010,72.13
Belgium,Nitrate,2011,73.48
Belgium,Nitrite,2011,0.066
Belgium,Dissolved oxygen,2003,1.7216
Bulgaria,Nitrite,2001,0.008
Bulgaria,Nitrate,2000,16.411
Bulgaria,Nitrate,2001,13.523
Bulgaria,Nitrate,2004,44.249
Bulgaria,Nitrate,2005,59.827
Bulgaria,Nitrate,2000,66.368
Belgium,Nitrate,2011,29.01
Bulgaria,Nitrite,2003,0.031
Belgium,Dissolved oxygen,2009,0.53
Belgium,Dissolved oxygen,2010,0.2902
Bulgaria,Nitrite,2002,0.009
Bulgaria,Nitrite,2005,0.034
Bulgaria,Nitrate,2001,5.951
Belgium,Nitrate,2006,0.82
Belgium,Nitrite,2007,0.144
Belgium,Dissolved oxygen,2005,5.52
Bulgaria,Dissolved oxygen,2002,4.35
Bulgaria,Nitrite,2003,0.004
Bulgaria,Nitrite,2005,0.007
Belgium,Nitrate,2004,53.3844
Finland,Nitrate,2000,0.0257
Finland,Nitrate,2002,0.0531
Finland,Nitrate,2004,0.07
Bulgaria,Nitrate,2000,11.932
Bulgaria,Nitrate,2002,7.974
