Species,HabitatType,status,StartLatitude,StartLongitude,DepthLower,Weight_kg,Number
Polymastia hemisphaerica,Unknown,,72.24933,22.9009266666667,368.08,21.0,4.0
Porifera,Unknown,,72.24933,22.9009266666667,894.625,0.0,4.0
Polymastia grimaldii,Unknown,,72.3144958333333,24.6726516666667,284.28999999999996,0.0,16.0
Polymastia hemisphaerica,Unknown,,72.3144958333333,24.6726516666667,368.08,41.0,8.0
Porifera,Unknown,,72.3144958333333,24.6726516666667,894.625,0.0,19.0
Polymastia grimaldii,Unknown,,72.3628658333333,26.731445,284.28999999999996,0.0,2.0
Mycalidae,Unknown,,72.3628658333333,26.731445,435.0,0.0,2.0
Polymastiidae,Unknown,,72.3628658333333,26.731445,435.0,0.0,2.0
Stylocordyla borealis,Unknown,,72.3628658333333,26.731445,1200.0,0.0,10.0
Thenea,Unknown,,72.3628658333333,26.731445,285.05,16.0,3.0
Thenea,Unknown,,72.3628658333333,26.731445,285.05,11.0,2.0
Porifera,Unknown,,72.3628658333333,26.731445,894.625,2.0,1.0
Polymastia grimaldii,Unknown,,72.3628658333333,26.731445,284.28999999999996,0.0,1.0
Porifera,Unknown,,72.4003958333333,28.6114283333333,894.625,1.0,8.0
Stylocordyla borealis,Unknown,,72.4003958333333,28.6114283333333,1200.0,14.0,16.0
Polymastia grimaldii,Unknown,,72.4003958333333,28.6114283333333,284.28999999999996,40.0,6.0
Stylocordyla borealis,Unknown,,72.4003958333333,28.6114283333333,1200.0,0.0,40.0
Polymastia grimaldii,Unknown,,72.4159458333333,30.5849525,284.28999999999996,0.0,11.0
Thenea,Unknown,,72.4159458333333,30.5849525,285.05,0.0,2.0
Polymastia grimaldii,Unknown,,72.4159458333333,30.5849525,284.28999999999996,0.0,3.0
Stylocordyla borealis,Unknown,,72.4221358333333,32.4577675,1200.0,0.0,3.0
Thenea,Unknown,,72.4221358333333,32.4577675,285.05,0.0,5.0
Polymastia grimaldii,Unknown,,72.4221358333333,32.4577675,284.28999999999996,0.0,9.0
Polymastia hemisphaerica,Unknown,,72.4311975,34.3320883333333,368.08,0.0,4.0
Thenea,Unknown,,72.9581116666667,34.1623666666667,285.05,0.0,4.0
Axinellida,Unknown,,72.9581116666667,34.1623666666667,435.0,0.0,1.0
Mycalidae,Unknown,,72.9581116666667,34.1623666666667,435.0,0.0,2.0
Myxillidae,Unknown,,72.9581116666667,34.1623666666667,435.0,0.0,1.0
Polymastia hemisphaerica,Unknown,,72.9581116666667,34.1623666666667,368.08,0.0,2.0
Stylocordyla borealis,Unknown,,72.9581116666667,34.1623666666667,1200.0,1.0,2.0
Craniella,Unknown,,73.0066208333333,32.5484041666667,410.19,0.0,1.0
Thenea,Unknown,,73.0066208333333,32.5484041666667,285.05,0.0,41.0
Porifera,Unknown,,72.9992641666667,30.3838441666667,894.625,0.0,168.0
Tetilla,Unknown,,72.9918866666667,28.5605933333333,1138.5,0.0,3.0
Polymastiidae,Unknown,,72.9918866666667,28.5605933333333,435.0,0.0,10.0
Polymastia hemisphaerica,Unknown,,72.951885,26.4711725,368.08,0.0,31.0
Tentorium semisuberites,Unknown,,72.951885,26.4711725,1120.0,0.0,93.0
Craniella,Unknown,,72.9033616666667,24.4996541666667,410.19,0.0,82.0
Porifera,Unknown,,72.9033616666667,24.4996541666667,894.625,0.0,22.0
Coelosphaeridae,Unknown,,72.9033616666667,24.4996541666667,435.0,0.0,6.0
