ISO3,Country,Area,Indicator,Value Text,Count,Share (%)
UGA,Uganda,Rural,ATH09,Fully,58,23.4
UKR,Ukraine,Rural,ATH09,No,84,33.9
TZA,United Republic of Tanzania,Rural,ATH09,Partially,78,31.5
URY,Uruguay,Rural,ATH09,No,84,33.9
UZB,Uzbekistan,Rural,ATH09,Partially,78,31.5
VNM,Viet Nam,Rural,ATH09,Partially,78,31.5
YEM,Yemen,Rural,ATH09,No,84,33.9
ZMB,Zambia,Rural,ATH09,Partially,78,31.5
ZWE,Zimbabwe,Rural,ATH09,No,84,33.9
ALB,Albania,Urban,ATH10,Fully,86,34.7
AGO,Angola,Urban,ATH10,No,62,25.0
ARG,Argentina,Urban,ATH10,Partially,81,32.7
AZE,Azerbaijan,Urban,ATH10,Fully,86,34.7
BHR,Bahrain,Urban,ATH10,Partially,81,32.7
BGD,Bangladesh,Urban,ATH10,No response,19,7.7
BRB,Barbados,Urban,ATH10,Partially,81,32.7
BLR,Belarus,Urban,ATH10,Fully,86,34.7
BLZ,Belize,Urban,ATH10,No,62,25.0
BEN,Benin,Urban,ATH10,Partially,81,32.7
BTN,Bhutan,Urban,ATH10,No,62,25.0
BOL,Bolivia (Plurinational State of),Urban,ATH10,Fully,86,34.7
BIH,Bosnia and Herzegovina,Urban,ATH10,No response,19,7.7
BWA,Botswana,Urban,ATH10,No response,19,7.7
BRA,Brazil,Urban,ATH10,Partially,81,32.7
VGB,British Virgin Islands,Urban,ATH10,No,62,25.0
BFA,Burkina Faso,Urban,ATH10,No,62,25.0
BDI,Burundi,Urban,ATH10,No,62,25.0
CPV,Cabo Verde,Urban,ATH10,Fully,86,34.7
KHM,Cambodia,Urban,ATH10,No response,19,7.7
CMR,Cameroon,Urban,ATH10,Partially,81,32.7
CAF,Central African Republic,Urban,ATH10,Partially,81,32.7
TCD,Chad,Urban,ATH10,Partially,81,32.7
CHL,Chile,Urban,ATH10,Fully,86,34.7
CHN,China,Urban,ATH10,Partially,81,32.7
COL,Colombia,Urban,ATH10,Fully,86,34.7
COM,Comoros,Urban,ATH10,No,62,25.0
COG,Congo,Urban,ATH10,Partially,81,32.7
CRI,Costa Rica,Urban,ATH10,Fully,86,34.7
CIV,Côte d'Ivoire,Urban,ATH10,No response,19,7.7
HRV,Croatia,Urban,ATH10,Fully,86,34.7
