VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Ireland,2016,247.069495442,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Ireland,2017,224.748985647,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Ireland,2018,214.240759375,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Ireland,2019,224.254161115,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Ireland,2020,241.084459222,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Ireland,2021,268.404591324,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Ireland,2022,280.531827082,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Israel,2015,127.271056798,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Israel,2016,125.442976088,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Israel,2017,128.796485559,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Israel,2018,136.293760478,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Israel,2019,139.723848132,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Israel,2020,133.299682055,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Israel,2021,131.944310296,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Israel,2022,141.197735862,US$/m3,E,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Italy,2015,47.589895093,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Italy,2016,48.221890158,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Italy,2017,49.279676659,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Italy,2018,49.963996812,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Italy,2019,49.995557953,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Italy,2020,45.498613344,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Italy,2021,47.983410631,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Italy,2022,50.008094481,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jamaica,2015,14.201556302,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jamaica,2016,8.699049635,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jamaica,2017,10.224636124,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jamaica,2018,12.766230008,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jamaica,2019,16.418540404,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jamaica,2020,20.960173588,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jamaica,2021,24.655299476,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Jamaica,2022,25.385849154,US$/m3,I,false
Water use,Pressure on water resources,SDG 6.4.1. Water Use Efficiency,Japan,2015,55.085963295,US$/m3,I,false
